grades,sports,fincome,ses,workage,hmwktime,female,academic,remedial,advanced,_pscore,_treated,_support,_weight,_n1,_nn,_grades,_id,_pdif,set,diff
3,1,5,2,12,5,0,0,1,0,.518009198108759,1,1,,760,1,4,1208,.0013722794370761,449,.043118488
4,0,5,3,12,4,1,0,0,0,.2412125296027758,0,1,1,939,1,4,297,4.59156789720e-06,70,4.5915681e-06
2.5,1,5,2,12,4,0,0,1,1,.4927996004092881,1,1,,731,1,2.5,1175,.0005974316934612,328,.00059743167
3,0,3,1,13,5,1,0,1,1,.2265236644614498,0,1,,927,1,3.5,255,.0002656339915032,,
2.5,0,5,2,17,5,0,1,0,1,.5498972585607084,0,1,2,1245,1,2,790,.0003630530607508,296,.00047590144
3.5,0,1,1,21,5,1,1,0,1,.2223942936777108,0,1,,925,1,3.5,235,.002275909624731,,
3,1,1,1,11,6,1,1,1,1,.3314421640328379,1,1,,468,1,4,1006,.0002479221553596,371,.0010856197
3,0,3,2,15,4,1,0,0,1,.1987361022969386,0,1,,901,1,3,147,.0008980514354135,,
2.5,0,5,2,11,6,0,1,1,1,.6478641476821287,0,1,1,1350,1,3.5,853,.0002155642154764,195,.00021556421
2,1,5,2,21,4,1,0,1,0,.1865372352728946,1,1,,105,1,1,892,.0004056994058031,302,.00049054931
3.5,0,4,2,16,5,1,0,0,0,.2145160311620751,0,1,2,918,1,3.5,213,0,18,0
3.5,0,5,2,12,5,1,1,0,1,.3188795484679988,0,1,1,994,1,4,447,.0001238318140798,152,.00012383181
2.5,0,5,2,15,4,1,0,1,1,.2229215316022084,0,1,,925,1,3.5,236,.0017486717002335,,
2.5,0,2,2,11,6,0,1,0,0,.6056021208691352,0,1,3,1318,1,3.5,830,.0005529101463909,314,.00055291015
2,0,2,1,16,4,1,1,0,0,.2239837703820995,0,1,,925,1,3.5,247,.0006864329203424,,
2.5,0,6,2,21,7,0,1,0,1,.5882283278122923,0,1,,1298,1,4,821,.0005588377422641,318,.00055883772
2,0,5,1,17,4,0,0,0,0,.3917307022695031,0,1,1,1057,1,2,569,.0000898488216706,128,.000089848822
2.5,1,7,3,13,6,0,0,1,0,.584210821991501,1,1,,818,1,2.5,1289,.0011439464853509,406,.0026331383
2.5,0,1,1,21,3,1,0,1,1,.1399271237008249,0,1,,868,1,2.5,9,.0023714551571014,,
3.5,0,5,2,16,4,1,0,0,0,.1946834119419251,0,1,1,898,1,2.5,126,0,12,0
2.5,0,4,2,15,1,1,0,1,0,.1510799533492276,0,1,1,871,1,1,23,.00006182059034,100,.000061820589
2.5,0,4,1,16,4,1,0,1,0,.1859023569389902,0,1,,891,1,3.5,102,.0002291789281013,,
4,0,3,1,11,7,0,0,0,0,.5225665869226607,0,1,,1213,1,3,762,.0006082325948005,403,.0024562934
2.5,0,3,2,16,4,0,0,1,0,.44804938146204,0,1,,1115,1,2.5,659,.0005741336201915,437,.0066619152
1,0,5,3,16,3,0,0,0,1,.4400394602825892,0,1,,1107,1,2,641,.0004658114236041,433,.0057606897
3.5,0,6,3,13,4,1,1,0,1,.3174144020052262,0,1,,992,1,2,443,.0004286539170363,,
2,0,5,2,14,4,0,0,0,0,.4463209220253905,0,1,,1114,1,2,654,.0002295483149177,460,.11866536
3.5,0,5,2,17,6,0,1,0,1,.5815719307667302,0,1,,1286,1,4,814,.0005850378414223,416,.0030877143
2.5,1,7,3,16,5,0,0,0,0,.5056042285569463,1,1,3,744,1,3.5,1193,.0002254530415932,203,.00022545304
2.5,0,2,2,21,6,1,1,0,0,.2722549901540705,0,1,,962,1,2.5,371,.0003945234244156,,
2.5,0,2,1,15,6,1,1,1,0,.3026887339386702,0,1,,985,1,2.5,421,.0006221616567391,,
2,1,4,1,13,3,0,0,0,1,.3918205510911737,1,1,1,569,1,2,1057,.0000898488216706,128,.000089848822
4,0,2,1,21,4,0,0,1,1,.381802632771384,0,1,1,1043,1,3,548,.0001263879143412,155,.00012638791
3.5,0,5,2,16,6,1,1,0,0,.3150217072720288,0,1,,991,1,3.5,436,.0009546307330021,,
4,0,6,3,16,4,0,1,0,1,.5628953789461618,0,1,4,1259,1,2.5,803,0,58,0
4,1,6,2,11,5,0,1,0,1,.5975682263183894,1,1,,827,1,2.5,1311,.0025038056781207,485,.20224169
1,1,3,1,15,6,0,1,1,0,.5724830049865729,1,1,,807,1,3,1271,.0018519126730335,465,.13184428
3.5,0,5,2,16,7,0,1,0,1,.6197944345472977,0,1,,1330,1,4,838,.0024685316235526,428,.0049279467
2.5,0,5,1,16,6,0,1,0,0,.5488669169187971,0,1,,1244,1,3.5,785,.0004432600448278,445,.013082593
1,1,7,3,14,4,0,1,0,0,.5748062073032094,1,1,,807,1,3,1276,.000471289643603,469,.15139017
3.5,0,2,2,16,7,1,1,0,0,.3325277837221201,0,1,,1007,1,3,469,.0008376975339227,371,.0010856197
2.5,1,5,2,16,7,1,1,0,1,.3505471435207172,1,1,4,498,1,3.5,1021,0,31,0
4,1,4,2,15,4,1,1,0,1,.2684604815779207,1,1,1,366,1,3,958,.0001021896060426,140,.00010218961
3,0,3,1,15,5,1,0,0,0,.1929006727881198,0,1,,896,1,1,121,.0011229024793681,,
3.5,0,4,3,12,7,1,0,0,0,.3186557974990871,0,1,,993,1,3.5,446,.0001049972665546,,
2.5,1,3,1,15,5,0,0,1,0,.4538712609746063,1,1,,667,1,2.5,1119,5.83690625183e-06,426,.0047536073
2.5,0,3,2,16,6,1,1,1,1,.33615929778118,0,1,1,1010,1,3.5,474,.0004213574245039,274,.00042135743
2.5,0,7,2,11,3,0,1,0,0,.5316103868070513,0,1,1,1225,1,2,770,.0000874379163184,126,.000087437918
3.5,0,5,2,15,6,0,1,0,0,.5892548671417102,0,1,3,1299,1,2.5,822,0,61,0
4,1,6,3,12,6,0,1,0,1,.6529815084839367,1,1,,855,1,3.5,1353,.0024807317823784,498,.27317908
2.5,0,3,1,16,6,1,0,0,0,.2103372074403407,0,1,,914,1,3,191,.0010158316548355,,
2.5,0,4,1,16,6,1,0,0,0,.2134073550890891,0,1,,916,1,4,211,.0004180975085258,,
3.5,1,5,2,15,3,1,1,0,0,.2404984175227082,1,1,9,294,1,4,937,.0003348570574729,255,.00033485706
3,1,5,2,16,5,0,1,0,0,.5503731599904271,1,1,,790,1,2.5,1246,.0004759014297188,296,.00047590144
3,1,6,2,15,5,0,1,0,0,.5618697927118984,1,1,1,802,1,3,1257,.00008637224932,352,.00082973298
2.5,0,2,1,16,5,1,0,1,0,.202202919234823,0,1,,906,1,3,158,.0001594383388547,,
2.5,0,6,3,15,5,0,0,0,0,.5087601868765202,0,1,,1194,1,3.5,749,.0003591352552985,423,.0043253144
3.5,1,6,2,16,5,0,0,0,0,.4677729816865296,1,1,1,685,1,1,1143,.0002308885887147,239,.00027169706
4,1,4,3,14,6,0,1,0,1,.6312507637195637,1,1,1,847,1,3.5,1342,.0004534017981015,286,.00045340179
2.5,0,3,2,17,3,1,0,0,0,.1632998568173948,0,1,,880,1,4,42,.0010800647424046,389,.0015730327
2.5,0,5,1,17,4,1,0,1,0,.1837914801268049,0,1,,890,1,2,96,.0001504035340752,,
3.5,1,6,3,14,3,1,0,0,1,.2141696178440795,1,1,,213,1,3.5,917,.0003464133179956,258,.00034641332
3.5,0,4,2,16,6,1,1,0,1,.3174091525370853,0,1,,992,1,2,442,.0004339033851772,,
3,0,4,1,11,5,0,0,1,1,.4944378667042503,0,1,1,1176,1,3,732,.0003190337693992,244,.00031903377
4,1,7,3,16,6,0,1,0,1,.6292778127130283,1,1,,846,1,3.5,1339,.0005425140665286,495,.2457612
4,0,5,2,17,5,0,1,0,0,.5430396211091807,0,1,4,1239,1,2.5,778,0,56,0
3.5,1,7,3,12,4,0,1,0,0,.5892605956724668,1,1,,822,1,3.5,1300,5.72853075664e-06,478,.17019708
3,1,5,1,14,2,0,0,1,1,.3819290206857252,1,1,1,548,1,4,1043,.0001263879143412,155,.00012638791
4,0,7,3,21,6,1,1,0,1,.3258535038136904,0,1,,1002,1,2,460,.0005481443967488,,
3.5,1,5,2,16,6,1,1,1,0,.3375787923542187,1,1,2,478,1,4,1011,.0003127168477902,335,.00064591086
4,0,5,2,12,5,0,1,0,0,.579511168211609,0,1,1,1284,1,3.5,810,2.81243026867e-07,66,2.8124302e-07
4,1,6,2,15,6,0,1,0,0,.5933714422440602,1,1,1,825,1,4,1307,.0004665613633975,292,.00046656135
3.5,1,7,3,12,3,0,1,1,0,.5822739650497594,1,1,2,816,1,4,1287,.0000855594252315,120,.000085559426
3.5,1,3,2,12,6,0,1,1,0,.6264812962280766,1,1,,844,1,2.5,1337,.0010166080986914,364,.0010166081
4,1,6,3,15,5,0,1,0,0,.5948470074959227,1,1,1,826,1,3,1308,.0002410290608441,226,.00024102906
3.5,1,3,2,16,7,0,1,0,0,.6050492107227443,1,1,2,830,1,2.5,1318,.0005529101463909,314,.00055291015
3,1,6,3,16,5,0,1,0,0,.5876568339719745,1,1,,820,1,3,1296,.0002420594517623,476,.16702382
1,0,4,3,15,4,0,0,0,0,.4682181892084031,0,1,,1145,1,3.5,686,.0001200949561991,424,.0045644399
4,0,5,2,13,5,1,0,0,0,.234311204250364,0,1,,931,1,4,271,.0001736566861661,,
2,0,5,2,15,4,0,0,0,0,.4390131060205406,0,1,,1107,1,2,637,.0005605428384444,407,.0026766905
3.5,0,2,2,14,5,1,1,1,0,.3105230813835582,0,1,1,990,1,4,432,.0007168713537006,341,.00071687135
2,0,6,2,16,5,1,0,1,0,.2397620360748102,0,1,,937,1,3.5,291,.000736381447898,,
.5,0,7,3,13,4,1,0,0,0,.2420504590138874,0,1,,940,1,1,300,.0002452505441864,,
3.5,0,5,2,16,4,1,1,0,0,.2602109517264646,0,1,,949,1,3,344,.0008754173671174,,
2,1,2,1,17,6,0,1,0,0,.5288966366052903,1,1,,767,1,2,1221,.0004396504393313,455,.056809016
2,1,1,1,17,6,0,1,1,0,.5495342054999576,1,1,3,788,1,2,1245,5.83086734984e-06,80,5.8308674e-06
3,1,7,3,15,4,0,1,1,1,.5987090843223228,1,1,1,827,1,2.5,1312,.0013629476741872,381,.0013629476
2.5,0,5,2,13,3,1,0,1,0,.2052067668121455,0,1,,909,1,3.5,173,.0007626295478158,,
3,1,5,2,11,3,0,1,0,0,.5231748195174611,1,1,4,764,1,3,1213,5.86631197774e-06,82,5.8663118e-06
3.5,1,5,2,12,6,0,1,0,0,.6107053189147146,1,1,,834,1,1,1324,.0019044295661763,490,.22024456
3.5,1,2,2,14,4,0,1,0,0,.5204631786934598,1,1,1,761,1,2,1212,.0001264715412619,156,.00012647154
3,0,7,3,16,2,0,1,0,1,.5031445635041336,0,1,2,1189,1,4,740,0,52,0
3,0,4,3,11,5,1,1,1,1,.3759949070508153,0,1,,1040,1,3,534,.0005752712647581,506,.29958984
2,0,5,2,16,6,0,0,1,0,.5205896502347217,0,1,2,1212,1,3.5,761,.0001264715412619,156,.00012647154
2,0,4,2,16,3,0,0,1,0,.4205415566018604,0,1,1,1080,1,1,604,0,40,0
2,0,2,1,11,4,0,0,0,0,.4224829489939142,0,1,,1081,1,4,609,.0003256731392825,473,.15393221
2,0,5,2,11,4,0,0,0,0,.4683441418790913,0,1,2,1145,1,3.5,687,5.85771448908e-06,81,5.8577143e-06
4,1,5,2,16,5,1,1,0,0,.2869965343539762,1,1,1,392,1,3,974,.0000796704875735,377,.0012874904
3,0,6,3,16,4,1,0,0,0,.2218831347724014,0,1,,924,1,2.5,232,.0021104460574508,,
2,0,2,1,15,5,1,0,1,0,.2074592518228628,0,1,1,912,1,2.5,181,0,15,0
2.5,0,3,1,21,4,0,0,1,0,.379246809381946,0,1,,1041,1,3,540,.0010134461800075,501,.27493447
4,0,5,2,14,4,0,1,0,1,.5399930557902869,0,1,1,1236,1,2,776,.0005945767831759,400,.0022116464
4,1,5,2,11,4,0,1,1,1,.5864923083644084,1,1,1,819,1,2.5,1294,0,60,0
3.5,0,3,1,16,4,1,0,0,0,.1669517449372821,0,1,1,881,1,3,51,.0005259450054958,309,.00052594498
1,1,3,2,15,4,0,1,1,0,.5422047021535271,1,1,,778,1,4,1237,.0008349189556536,400,.0022116464
3.5,1,7,3,16,7,0,1,1,1,.6819082416730383,1,1,,863,1,2,1373,.0069984498031217,439,.00699845
3.5,1,5,3,16,7,0,1,0,1,.6514583589371211,1,1,1,855,1,3.5,1352,.0009575822355629,359,.00095758226
2.5,0,3,1,16,5,1,0,1,0,.2052025792966534,0,1,,909,1,3.5,171,.0007584420323237,,
4,1,6,3,16,6,1,0,0,1,.2784299289270785,1,1,2,384,1,3,967,.0005950778215644,327,.00059507781
3.5,0,6,2,17,6,1,0,0,1,.2449897077176059,0,1,,941,1,2.5,305,.0006390700316806,,
2.5,1,7,2,13,6,0,0,0,1,.5331058757649471,1,1,,772,1,3,1228,.0002355497397049,456,.061150104
3.5,0,5,2,17,5,1,0,0,0,.2122144454835292,0,1,,915,1,2.5,203,.0002480378779381,,
2.5,0,5,2,16,4,1,0,0,0,.1946834119419251,0,1,,898,1,2.5,127,0,,
3.5,0,3,1,21,5,1,0,1,0,.1799044021622052,0,1,,887,1,3,85,.0002859413947321,,
3,0,1,1,16,4,1,0,0,0,.1617045694758888,0,1,4,877,1,4,40,0,4,0
4,0,6,2,12,5,1,1,0,1,.3226731825007227,0,1,1,1000,1,3.5,453,.0001136463928079,147,.00011364639
2,0,5,2,17,3,0,1,1,0,.5038499938405554,0,1,,1190,1,4,741,.0003413410811053,319,.00056709111
3,0,6,2,12,3,0,0,0,1,.4401643856775297,0,1,,1107,1,2,642,.0005907368185447,466,.13358909
2.5,0,1,1,21,4,1,0,0,0,.1400655153368798,0,1,,868,1,2.5,10,.0022330635210465,,
3.5,0,2,1,21,6,0,1,0,1,.5062890612008257,0,1,,1193,1,2.5,745,.0006848326438794,422,.0037420196
2.5,1,4,2,12,3,0,0,0,0,.4250248646950673,1,1,,616,1,2,1084,.0005570016018043,317,.00055700162
3.5,0,5,1,14,4,1,0,1,1,.2037860968917378,0,1,,907,1,1,162,.0005091825897288,,
3,1,6,3,17,5,0,0,1,1,.5258468308331954,1,1,,765,1,2,1218,.0020997181926309,453,.052343633
2.5,0,4,1,17,6,1,0,1,0,.2264532597035795,0,1,,927,1,3.5,254,.000195229233633,,
4,1,2,1,11,7,1,0,0,1,.2658284583662713,1,1,2,362,1,4,953,.0000297990538438,94,.000029799054
2,0,4,3,12,5,0,0,0,1,.5293362870446215,0,1,1,1222,1,2.5,767,.0001562861100615,174,.00015628611
3,0,2,1,11,7,1,0,1,1,.2867538466627492,0,1,1,973,1,2.5,391,.0000746134323912,108,.000074613432
2.5,0,7,2,13,4,0,1,0,0,.5488727490014739,0,1,,1244,1,3.5,786,.000437427962151,446,.014496305
4,0,2,1,13,3,0,0,0,0,.3771100553549535,0,1,,1040,1,3,537,.00053987703938,504,.29178995
4,0,1,1,14,7,0,1,0,0,.5784551183823551,0,1,1,1283,1,3.5,809,.0010210079500105,365,.001021008
2.5,0,4,1,16,5,1,0,1,0,.2082285218629943,0,1,,913,1,2.5,184,.0004121219930318,,
3,1,5,2,11,6,1,1,0,0,.3485947540491554,1,1,3,495,1,2.5,1020,.0003164168130846,243,.00031641682
2.5,0,3,1,11,4,0,0,1,1,.4581660904176241,0,1,,1130,1,2.5,671,.0002466979680553,415,.00301684
3,1,4,2,12,5,1,0,0,0,.2367456123230648,1,1,3,282,1,2,936,.0001746494514314,180,.00017464945
3.5,0,3,1,12,4,0,1,0,0,.5058296815985395,0,1,1,1193,1,2.5,744,.0002254530415932,203,.00022545304
4,1,6,2,17,7,1,1,0,0,.3412466631706494,1,1,1,482,1,3,1015,.0006240612021599,333,.00062406121
1,0,1,1,16,3,1,0,1,0,.1573508146871321,0,1,2,873,1,2.5,36,0,3,0
3.5,0,5,3,11,6,1,1,0,1,.3868685687742063,0,1,1,1047,1,2.5,557,.0002312342149848,215,.00023123421
2.5,0,6,1,15,3,1,1,0,1,.223294173770104,0,1,,925,1,3.5,243,.0013760295323379,,
2.5,0,1,1,17,5,1,0,1,1,.198893968158302,0,1,,901,1,3,148,.0010559172967769,,
2.5,1,6,2,13,5,0,1,0,0,.5764151665924153,1,1,,808,1,3.5,1281,.0000382091274816,473,.15393221
3,0,2,2,13,3,1,0,0,0,.1794286740412069,0,1,,887,1,3,84,.0007616695157305,,
2,0,3,2,17,4,1,0,1,0,.2010475044220308,0,1,1,903,1,3,153,.0001588917716556,,
3.5,0,2,1,16,5,1,1,1,1,.2747864882002397,0,1,2,963,1,3,381,.0002123450324339,193,.00021234504
2.5,1,2,1,15,5,1,0,1,0,.2074592518228628,1,1,2,181,1,2,912,0,15,0
2,0,2,1,17,3,1,0,1,0,.1554542360524061,0,1,,873,1,2.5,28,.001896578634726,,
2.5,0,4,2,14,1,0,0,1,0,.3727728586758297,0,1,,1038,1,3.5,527,.0021323670583333,511,.32498863
2.5,0,6,2,15,6,0,0,0,0,.507242492077339,0,1,,1194,1,3.5,747,.0011585595438828,434,.0061201323
3.5,1,7,3,16,7,0,1,0,1,.6592642429758397,1,1,1,858,1,4,1361,.0007339296304355,346,.00073392963
3,1,6,3,12,4,0,1,0,0,.5851341790367485,1,1,1,818,1,2.5,1293,.0002205894401034,199,.00022058944
2.5,1,3,2,13,4,0,0,0,0,.4452594731450527,1,1,,652,1,3,1113,.0004365801738748,351,.00081565307
4,1,3,1,11,5,1,0,0,0,.2138254525976149,1,1,2,212,1,2,916,.0004138122403638,273,.00041381223
3.5,1,7,3,15,7,1,1,0,1,.3975017020107126,1,1,4,577,1,4,1059,0,37,0
2.5,0,7,3,11,6,0,1,0,1,.6636662443004231,0,1,,1362,1,3.5,860,.0015052610397406,411,.0027970679
3,1,7,3,21,7,1,1,0,1,.3553644490427534,1,1,,505,1,3,1025,.0002489604125903,393,.0018750983
3.5,0,7,3,15,6,1,1,0,1,.3668026169802863,0,1,1,1034,1,2.5,517,3.29886136674e-06,,
3.5,1,3,2,12,3,1,0,1,0,.2044441372643298,1,1,6,169,1,2.5,909,4.17825362739e-06,232,.00025190672
3,1,2,2,16,5,1,1,0,0,.2762649895995229,1,1,2,382,1,2.5,966,.0001110961021948,145,.0001110961
1,0,3,1,16,6,0,0,1,0,.4785148007710722,0,1,1,1157,1,3.5,710,.0002584320114349,234,.000258432
4,1,7,3,16,2,0,1,0,1,.5031445635041336,1,1,1,740,1,3,1189,0,52,0
3,0,4,2,15,4,1,0,0,0,.1968701137320906,0,1,,900,1,2.5,138,.0005727908448838,,
2.5,0,6,2,16,4,1,0,0,0,.1976156800286342,0,1,1,900,1,2.5,142,.0001727754516598,179,.00017277546
3.5,0,7,3,16,3,1,0,0,0,.2016433006146856,0,1,1,905,1,3.5,156,.00006166063852,99,.000061660641
3.5,1,3,2,15,4,1,1,0,1,.2649779386320348,1,1,2,358,1,3.5,952,.0003665648735521,270,.00039397541
3.5,0,5,3,14,5,1,1,1,0,.3526203630223836,0,1,,1022,1,3.5,501,.000550967312114,,
3.5,0,7,3,12,6,1,1,0,0,.3812834013893662,0,1,,1042,1,4,547,.0002383667905456,496,.26155579
2.5,0,7,3,16,5,1,1,0,0,.3239557584005092,0,1,,1001,1,4,456,.0010447318579558,,
3.5,0,7,3,11,6,1,1,0,1,.3950060841332374,0,1,,1058,1,3,573,.0015052760476259,486,.20834334
1,0,5,1,17,3,1,0,1,0,.1631670048110284,0,1,,879,1,2.5,41,.0010137200025693,363,.0010137201
2,1,5,2,11,6,1,0,1,1,.2989943059006177,1,1,2,415,1,4,983,.0000811886248772,115,.000081188628
3,1,2,1,15,3,0,0,1,1,.3935008080856115,1,1,5,570,1,3,1058,0,36,0
2.5,1,7,2,11,3,0,0,1,1,.4765320126397503,1,1,,705,1,2.5,1154,.000225424271833,259,.00034658689
2.5,1,1,1,16,3,1,0,1,0,.1573508146871321,1,1,10,36,1,1,873,0,3,0
2,0,1,1,15,1,0,0,1,0,.3230666123042706,0,1,,1000,1,3.5,454,.0005070761963558,,
3,1,6,2,13,4,0,1,1,1,.5761716615364325,1,1,,808,1,3.5,1278,.0002052959285012,471,.15276138
3.5,1,5,3,11,5,1,1,0,1,.3564348466372793,1,1,1,505,1,3,1028,.0013193580071161,388,.0015290844
3.5,0,4,2,12,6,0,0,1,1,.5526589767044723,0,1,,1249,1,2.5,794,.0003162996918363,432,.0055977781
3.5,1,5,3,13,5,1,1,0,1,.3427298621730749,1,1,2,483,1,3.5,1016,.0006501362035058,336,.00065013621
4,0,5,2,16,4,1,1,0,1,.2658582574201151,0,1,1,953,1,4,362,.0000297990538438,94,.000029799054
2,0,3,2,14,5,1,0,1,0,.2413889724510164,0,1,,939,1,4,298,.0001810344161378,,
3.5,1,1,1,14,6,0,1,0,1,.5535894802714824,1,1,1,795,1,2,1250,.0004814278590128,300,.00048142785
3.5,1,2,1,14,4,1,0,0,0,.173644852827467,1,1,9,71,1,3.5,885,0,8,0
2.5,1,6,3,11,5,0,0,1,0,.5630020079076677,1,1,,803,1,4,1260,.0001066289615059,443,.010998051
3.5,0,4,2,16,5,1,0,0,0,.2145160311620751,0,1,,918,1,3.5,214,0,,
4,0,7,3,17,4,1,1,0,0,.2892114269521047,0,1,1,977,1,1,397,.0006848650318973,339,.00068486505
2.5,0,7,3,13,3,0,0,1,1,.4953886686369295,0,1,1,1178,1,3,734,.0002421634214965,227,.00024216343
3,0,4,2,11,6,1,0,0,0,.2683582919718781,0,1,5,958,1,4,366,.0001021896060426,140,.00010218961
4,1,7,3,12,7,1,1,0,0,.4123137611541463,1,1,,593,1,3.5,1073,.0004679975594841,297,.00047713958
2,0,4,2,12,1,1,0,0,0,.1494328147741128,0,1,,871,1,1,20,.0015853179847748,,
3,0,4,2,17,4,1,0,1,0,.2040369500387309,0,1,,908,1,1,166,.0004030089719715,,
3.5,0,3,2,16,6,0,1,0,1,.5805227610088634,0,1,,1285,1,3,811,.0003506423877468,419,.0034235865
1,0,6,1,12,4,1,0,0,0,.1947706595954851,0,1,,898,1,2.5,129,.00008724765356,,
2,0,5,2,16,4,1,0,0,1,.1994859236129837,0,1,1,902,1,3,150,.0004987883333189,304,.00049878831
3,0,6,2,14,5,0,0,0,0,.4825120791436261,0,1,,1162,1,3.5,716,.0005665940851398,417,.0032413302
3,0,4,2,15,4,1,0,0,0,.1968701137320906,0,1,,900,1,2.5,139,.0005727908448838,,
2.5,1,4,2,15,4,1,0,1,1,.2197726887149506,1,1,5,229,1,2.5,924,.000322490083047,245,.00032249009
1,1,6,2,16,3,0,0,1,0,.4288459592722902,1,1,1,621,1,2,1087,.0003301567691756,253,.00033015676
4,0,3,2,17,6,1,1,0,1,.3071084218418727,0,1,,987,1,3,426,.0009086661208045,,
3,1,7,3,11,6,0,1,0,0,.6573283294875139,1,1,2,857,1,2.5,1359,.0001775095998248,182,.0001775096
3.5,1,6,3,14,7,0,1,0,1,.6689000089426578,1,1,,862,1,3.5,1365,.0042679437957479,504,.29178995
3,1,6,2,16,6,0,1,1,0,.6103771500378633,1,1,,834,1,1,1323,.001576260689325,489,.21967772
2.5,0,2,2,12,6,0,0,1,1,.5442659373997969,0,1,1,1241,1,3.5,781,.0000686260434826,105,.000068626046
2.5,0,4,2,11,4,0,0,1,0,.489052444584556,0,1,1,1173,1,2.5,726,0,51,0
3,1,7,3,11,4,1,0,0,1,.2593355343593472,1,1,10,340,1,3,949,4.72622224768e-06,72,4.7262224e-06
2.5,0,4,2,16,4,1,0,1,0,.2093213757855051,0,1,1,914,1,3,188,0,16,0
4,0,6,2,15,3,1,0,1,0,.1977771041573595,0,1,1,901,1,3,143,.0000609467041656,98,.000060946702
2,0,5,2,15,1,0,0,1,0,.369782160476809,0,1,1,1037,1,4,522,3.30765296103e-06,68,3.3076531e-06
3,0,6,2,16,4,0,1,0,0,.5226027650929882,0,1,,1213,1,3,763,.0005720544244729,410,.0027797164
